('Sculpture', 'main_category_Art', 'GBP', 'GB', 24017, 70, 2015, 3) ('goal_level', 24017)
('Sculpture', 'main_category_Art', 'GBP', 'GB', 24017, 60, 2015, 3) ('duration', 60)
('Sculpture', 'main_category_Art', 'GBP', 'GB', 24017, 60, 2015, 3) ('goal_level', 24017)
('Video Art', 'main_category_Art', 'GBP', 'GB', 24017, 60, 2015, 3) ('category', 'Video Art')
('Video Art', 'main_category_Art', 'USD', 'US', 24017, 60, 2015, 3) ('country', 'US')
('Ceramics', 'main_category_Art', 'USD', 'US', 24017, 60, 2015, 3) ('category', 'Ceramics')
('Residencies', 'main_category_Dance', 'USD', 'US', 24017, 60, 2015, 3) ('main_category', 'main_category_Dance')
('Residencies', 'main_category_Dance', 'USD', 'US', 660697, 60, 2015, 3) ('goal_level', 660697)
('Residencies', 'main_category_Dance', 'USD', 'US', 660697, 60, 2012, 3) ('year_launched', 2012)
('Residencies', 'main_category_Dance', 'USD', 'US', 660697, 90, 2012, 3) ('duration', 90)
('Nature', 'main_category_Photography', 'USD', 'US', 660697, 90, 2012, 3) ('main_category', 'main_category_Photography')
('Nature', 'main_category_Photography', 'USD', 'US', 660697, 90, 2012, 8) ('month_launched', 8)
('Nature', 'main_category_Photography', 'USD', 'US', 4868, 90, 2012, 8) ('goal_level', 4868)
('Graphic Novels', 'main_category_Comics', 'USD', 'US', 4868, 90, 2012, 8) ('main_category', 'main_category_Comics')
('Graphic Novels', 'main_category_Comics', 'USD', 'US', 4868, 90, 2012, 8) ('category', 'Graphic Novels')
('Graphic Novels', 'main_category_Comics', 'USD', 'US', 4868, 90, 2012, 12) ('month_launched', 12)
('Fashion', 'main_category_Fashion', 'USD', 'US', 4868, 90, 2012, 12) ('main_category', 'main_category_Fashion')
('Fashion', 'main_category_Fashion', 'USD', 'US', 4868, 90, 2012, 3) ('month_launched', 3)
('Video', 'main_category_Journalism', 'USD', 'US', 4868, 90, 2012, 3) ('main_category', 'main_category_Journalism')
('Video', 'main_category_Journalism', 'USD', 'US', 4868, 90, 2012, 7) ('month_launched', 7)
('Video', 'main_category_Journalism', 'USD', 'US', 923, 90, 2012, 7) ('goal_level', 923)
('Video', 'main_category_Journalism', 'USD', 'US', 541, 90, 2012, 7) ('goal_level', 541)
('Video', 'main_category_Journalism', 'USD', 'US', 541, 90, 2013, 7) ('year_launched', 2013)
('Video', 'main_category_Journalism', 'USD', 'US', 5871, 90, 2013, 7) ('goal_level', 5871)
('Video', 'main_category_Journalism', 'USD', 'US', 208, 90, 2013, 7) ('goal_level', 208)
